"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2006","348.94","329.21","354.16","320.03","","5.99%"
"07/01/2006","329.21","337.18","353.50","303.04","","-2.36%"
"06/01/2006","337.18","333.81","342.68","270.54","","1.01%"
"05/01/2006","333.81","378.79","401.69","305.23","","-11.87%"
"04/01/2006","378.79","336.32","385.37","335.50","","12.63%"
"03/01/2006","336.32","305.97","345.21","278.47","","9.96%"
"02/01/2006","305.87","342.43","348.34","297.15","","-10.68%"
"01/01/2006","342.43","276.87","349.48","276.87","","23.67%"
"12/01/2005","276.90","243.44","281.22","243.44","","13.74%"
"11/01/2005","243.44","222.84","256.73","219.87","","9.24%"
"10/01/2005","222.84","245.19","245.78","214.30","","-9.12%"
"09/01/2005","245.19","205.99","250.33","205.99","","19.03%"
"08/01/2005","205.99","196.77","219.34","196.36","","4.69%"
"07/01/2005","196.77","201.56","206.87","191.62","","-2.38%"
"06/01/2005","201.56","185.78","205.46","181.67","","8.49%"
"05/01/2005","185.78","178.03","186.82","165.71","","4.35%"
"04/01/2005","178.03","201.86","203.69","175.32","","-11.81%"
"03/01/2005","201.86","215.32","227.18","195.28","","-6.25%"
"02/01/2005","215.32","201.57","217.81","190.45","","6.82%"
"01/01/2005","201.57","215.33","215.33","200.11","","-6.39%"
"12/01/2004","215.33","236.94","239.80","207.77","","-9.12%"
"11/01/2004","236.94","233.60","248.18","221.18","","1.43%"
"10/01/2004","233.60","231.38","239.90","218.98","","0.96%"
"09/01/2004","231.38","207.39","231.68","196.57","","11.57%"
"08/01/2004","207.39","186.05","211.21","178.68","","11.47%"
"07/01/2004","186.05","188.94","201.59","171.91","","-1.53%"
"06/01/2004","188.94","199.93","203.18","175.99","","-5.50%"
"05/01/2004","199.93","178.78","203.45","163.81","","11.83%"
