"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2011","3,814.85","3,853.10","3,859.95","3,518.51","","0.43%"
"02/01/2011","3,798.59","3,575.75","3,811.93","3,567.02","","8.46%"
"01/01/2011","3,502.26","3,966.27","3,966.27","3,479.05","","-11.68%"
"12/01/2010","3,965.32","3,837.79","4,061.99","3,837.79","","4.66%"
"11/01/2010","3,788.82","3,763.24","3,993.27","3,740.95","","0.90%"
"10/01/2010","3,755.00","3,716.46","3,875.06","3,581.30","","1.74%"
"09/01/2010","3,690.79","3,486.37","3,723.62","3,486.37","","4.96%"
"08/01/2010","3,516.51","3,190.38","3,516.51","3,189.47","","11.04%"
"07/01/2010","3,166.88","3,358.72","3,358.72","3,120.50","","-7.24%"
"06/01/2010","3,413.88","3,280.37","3,509.36","3,209.67","","4.87%"
"05/01/2010","3,255.28","3,258.06","3,489.94","3,066.78","","-2.25%"
"04/01/2010","3,330.37","3,089.42","3,330.37","3,087.42","","12.40%"
"03/01/2010","2,962.95","2,956.10","3,097.51","2,882.65","","1.91%"
"02/01/2010","2,907.32","2,809.24","2,999.92","2,683.13","","6.79%"
"01/01/2010","2,722.47","3,166.83","3,317.11","2,722.47","","-11.41%"
"12/01/2009","3,073.10","3,558.50","3,654.02","2,990.73","","-8.54%"
"11/01/2009","3,360.22","2,894.70","3,478.76","2,894.70","","17.41%"
"10/01/2009","2,861.97","2,925.78","3,295.94","2,849.24","","-4.45%"
"09/01/2009","2,995.17","2,650.17","3,185.13","2,650.17","","12.52%"
"08/01/2009","2,661.95","2,764.59","2,810.93","2,527.34","","-1.22%"
"07/01/2009","2,694.87","2,645.12","2,742.77","2,430.71","","3.60%"
"06/01/2009","2,601.32","2,921.15","2,971.78","2,474.56","","-11.59%"
"05/01/2009","2,942.27","2,240.76","2,942.27","2,240.76","","30.36%"
"04/01/2009","2,257.02","2,609.77","2,609.77","2,141.32","","-10.67%"
"03/01/2009","2,526.66","2,157.57","2,609.97","2,067.33","","11.89%"
"02/01/2009","2,258.21","2,305.08","2,550.17","2,257.86","","-3.60%"
"01/01/2009","2,342.50","2,383.09","2,383.09","2,024.50","","-1.19%"
"12/01/2008","2,370.63","1,740.97","2,376.26","1,681.05","","21.59%"
"11/01/2008","1,949.68","1,488.49","1,949.68","1,340.04","","30.85%"
"10/01/2008","1,490.01","2,335.05","2,335.05","1,156.45","","-35.53%"
"09/01/2008","2,311.28","2,366.27","2,470.87","1,831.03","","-4.36%"
"08/01/2008","2,416.55","2,716.62","2,716.62","2,203.66","","-14.01%"
"07/01/2008","2,810.20","3,151.01","3,322.81","2,810.20","","-10.99%"
"06/01/2008","3,157.08","2,965.41","3,157.08","2,743.04","","7.34%"
"05/01/2008","2,941.23","2,704.45","3,150.32","2,704.45","","6.99%"
"04/01/2008","2,749.15","2,904.09","3,215.69","2,692.06","","-8.86%"
"03/01/2008","3,016.42","3,519.89","3,553.88","2,902.55","","-12.43%"
"02/01/2008","3,444.61","3,236.15","3,484.99","3,072.10","","5.96%"
"01/01/2008","3,250.98","3,119.50","3,492.85","3,002.58","","9.88%"
"12/01/2007","2,958.75","2,962.70","2,976.55","2,677.46","","-0.04%"
"11/01/2007","2,959.91","3,086.50","3,289.25","2,855.68","","-5.94%"
"10/01/2007","3,146.72","2,862.85","3,146.72","2,768.10","","11.42%"
"09/01/2007","2,824.20","2,298.26","2,850.79","2,298.26","","24.08%"
"08/01/2007","2,276.17","2,333.16","2,384.20","2,087.24","","-4.67%"
"07/01/2007","2,387.70","2,241.43","2,541.55","2,241.43","","8.07%"
"06/01/2007","2,209.36","2,291.48","2,301.13","2,174.52","","-1.77%"
"05/01/2007","2,249.21","2,292.48","2,380.14","2,188.43","","-2.67%"
